name,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,accuracy
CNN,0.9038926940639269,0.9084806848336395,0.905448717948718,0.9033333333333333,0.9033333333333333,0.9033333333333333,0.9033333333333333
CNN2,0.9310976167023771,0.9330845580730761,0.9317533405561574,0.93,0.93,0.93,0.93
CNN3,0.9259829572400076,0.9254420545009185,0.9253350308228357,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333
CNN4,0.9367678329083652,0.9356093080220453,0.9360122282506698,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
